,Date / Time,City,State,Shape
104,2016-08-12 19:30:00,Jerseyville                         ,IL    ,Triangle  
105,2016-08-12 17:30:00,St. Clair                           ,MO    ,Light     
106,2016-08-12 17:15:00,Cromwell                            ,CT    ,Circle    
107,2016-08-12 16:00:00,Atlanta                             ,GA    ,Sphere    
108,2016-07-12 00:00:00,Saint Augustine                     ,FL    ,Circle    
109,2016-07-12 23:30:00,Anchorage                           ,AK    ,Flash     
110,2016-07-12 22:50:00,Napili                              ,HI    ,Fireball  
111,2016-07-12 22:10:00,Bellingham                          ,WA    ,Fireball  
112,2016-07-12 19:15:00,Snellville                          ,GA    ,Circle    
113,2016-07-12 18:53:00,Las Vegas                           ,NV    ,Other     
114,2016-07-12 18:20:00,Riverdale                           ,GA    ,Cylinder  
115,2016-07-12 18:00:00,Plymouth                            ,MA    ,Light     
116,2016-07-12 07:00:00,Orlando                             ,FL    ,Fireball  
117,2016-06-12 20:45:00,High Point                          ,NC    ,Other     
118,2016-06-12 19:15:00,Austin                              ,NV    ,Fireball  
119,2016-06-12 19:00:00,Austin                              ,NV    ,Other     
120,2016-06-12 18:00:00,Nairn                               ,LA    ,Formation 
121,2016-06-12 17:30:00,Holland                             ,PA    ,Sphere    
124,2016-06-12 07:15:00,Union                               ,IL    ,Chevron   
125,2016-06-12 05:00:00,Osterville                          ,MA    ,Light     
126,2016-06-12 01:40:00,Sunrise                             ,FL    ,Circle    
128,2016-05-12 20:05:00,Niantic                             ,CT    ,Triangle  
129,2016-05-12 18:39:00,Ivins                               ,UT    ,Circle    
130,2016-05-12 18:15:00,Haskell                             ,NJ    ,Triangle  
131,2016-05-12 18:00:00,Westmoreland                        ,NH    ,Disk      
133,2016-05-12 16:00:00,Elizabethtown                       ,PA    ,Changing  
135,2016-05-12 03:30:00,Stratford                           ,CT    ,Light     
136,2016-05-12 01:40:00,La Pine                             ,OR    ,Fireball  
137,2016-04-12 23:10:00,Sauk Rapids                         ,MN    ,Triangle  
138,2016-04-12 22:40:00,Huntington Beach                    ,CA    ,Chevron   
139,2016-04-12 20:00:00,Freeport                            ,ME    ,Diamond   
