,Date / Time,City,State,Shape
1170,2016-09-26 17:40:00,Walkertown                          ,NC    ,Rectangle 
1171,2016-09-26 16:00:00,Apple Valley                        ,UT    ,Changing  
1172,2016-09-26 15:30:00,Oakdale                             ,CA    ,Other     
1173,2016-09-26 14:00:00,Rothschild                          ,WI    ,Triangle  
1174,2016-09-26 12:30:00,Antioch                             ,CA    ,Teardrop  
1175,2016-09-26 11:35:00,Sacramento                          ,CA    ,Oval      
1176,2016-09-26 07:30:00,Hollywood                           ,FL    ,Circle    
1177,2016-09-26 05:20:00,Coachella                           ,CA    ,Circle    
1178,2016-09-26 05:00:00,Long Beach                          ,CA    ,Light     
1179,2016-09-26 04:08:00,Aurora                              ,CO    ,Cigar     
1180,2016-09-26 03:00:00,Port Orchard                        ,WA    ,Triangle  
1181,2016-09-25 00:00:00,Bellingham                          ,WA    ,Circle    
1182,2016-09-25 23:46:00,El Mirage                           ,AZ    ,Circle    
1183,2016-09-25 23:00:00,Naugatuck                           ,CT    ,Light     
1184,2016-09-25 22:15:00,San Jose                            ,CA    ,Rectangle 
1185,2016-09-25 21:30:00,Reston                              ,VA    ,Circle    
1186,2016-09-25 21:30:00,Sacramento                          ,CA    ,Light     
1187,2016-09-25 20:30:00,Wetumpka                            ,AL    ,Light     
1188,2016-09-25 20:19:00,Northglenn                          ,CO    ,Triangle  
1189,2016-09-25 20:15:00,Eugene                              ,OR    ,Triangle  
1190,2016-09-25 20:00:00,Bellingham                          ,WA    ,Circle    
1191,2016-09-25 19:47:00,Roseville                           ,CA    ,Formation 
1194,2016-09-25 17:15:00,Cranford                            ,NJ    ,Sphere    
1195,2016-09-25 15:49:00,Wilmington                          ,DE    ,Circle    
1196,2016-09-25 14:00:00,East Brunswick                      ,NJ    ,Oval      
1197,2016-09-25 12:30:00,Pittsburgh                          ,PA    ,Chevron   
1198,2016-09-25 12:00:00,Brandywine                          ,MD    ,Triangle  
1200,2016-09-25 00:09:00,Dayton                              ,TX    ,Triangle  
1201,2016-09-24 23:50:00,Montville                           ,OH    ,Flash     
1202,2016-09-24 23:30:00,Stering Heights                     ,MI    ,Formation 
1203,2016-09-24 23:20:00,White Plains                        ,NY    ,Circle    
1204,2016-09-24 23:00:00,Fenton                              ,MI    ,Triangle  
1205,2016-09-24 22:45:00,Cincinnati                          ,OH    ,Oval      
1206,2016-09-24 22:15:00,Long Beach                          ,CA    ,Formation 
1207,2016-09-24 22:00:00,Akron                               ,OH    ,Formation 
1208,2016-09-24 22:00:00,Rutland                             ,MA    ,Circle    
1209,2016-09-24 21:30:00,Niagara Falls                       ,NY    ,Fireball  
1210,2016-09-24 21:30:00,Hamilton                            ,NJ    ,Formation 
1211,2016-09-24 21:28:00,Denver                              ,CO    ,Triangle  
1212,2016-09-24 21:17:00,Cumberland Center                   ,ME    ,Other     
1213,2016-09-24 21:00:00,Macungie                            ,PA    ,Light     
1214,2016-09-24 21:00:00,Lancaster                           ,PA    ,Circle    
1216,2016-09-24 20:45:00,Garden City                         ,SC    ,Other     
1217,2016-09-24 20:45:00,Tigard                              ,OR    ,Light     
1218,2016-09-24 20:15:00,Buffalo                             ,NY    ,Light     
1219,2016-09-24 20:05:00,Fairmont                            ,WV    ,Circle    
1220,2016-09-24 19:39:00,Redding                             ,CA    ,Rectangle 
1221,2016-09-24 19:30:00,Philadelphia                        ,PA    ,Light     
1222,2016-09-24 19:30:00,Oakland                             ,CA    ,Triangle  
1223,2016-09-24 18:15:00,South Burlington                    ,VT    ,Oval      
1225,2016-09-24 08:00:00,Fountain Valley                     ,CA    ,Triangle  
1227,2016-09-24 07:30:00,Silverlake                          ,CA    ,Cigar     
1228,2016-09-24 04:00:00,Alice                               ,TX    ,Light     
1229,2016-09-24 03:13:00,Downey                              ,CA    ,Egg       
1230,2016-09-24 03:00:00,Siracusa                            ,NY    ,Light     
1231,2016-09-24 01:00:00,Melbourne Beach                     ,FL    ,Other     
1232,2016-09-24 00:00:00,Cleveland                           ,OH    ,Fireball  
1233,2016-09-23 22:00:00,Sarasota                            ,FL    ,Changing  
1234,2016-09-23 22:00:00,Lilburn                             ,GA    ,Fireball  
1235,2016-09-23 22:00:00,Indianapolis                        ,IN    ,Light     
1236,2016-09-23 21:40:00,Springfield                         ,VA    ,Circle    
1237,2016-09-23 20:45:00,Bradenton                           ,FL    ,Triangle  
1238,2016-09-23 20:32:00,Virginia Beach                      ,VA    ,Cigar     
1239,2016-09-23 20:19:00,Lansing                             ,MI    ,Light     
1240,2016-09-23 19:30:00,Longmont                            ,CO    ,Light     
1241,2016-09-23 17:30:00,Las Vegas                           ,NV    ,Oval      
1242,2016-09-22 22:00:00,Santa Monica                        ,CA    ,Formation 
1243,2016-09-22 21:30:00,Austell                             ,GA    ,Light     
1244,2016-09-22 21:30:00,Glenside                            ,PA    ,Triangle  
1245,2016-09-22 21:10:00,Morristown                          ,TN    ,Other     
1246,2016-09-22 20:45:00,Portland                            ,OR    ,Sphere    
1247,2016-09-22 20:30:00,Temecula                            ,CA    ,Triangle  
1248,2016-09-22 19:40:00,Boston                              ,MA    ,Light     
1249,2016-09-22 19:00:00,Woonsocket                          ,RI    ,Circle    
1250,2016-09-22 12:15:00,Cincinnati                          ,OH    ,Fireball  
1252,2016-09-22 05:50:00,Athens                              ,GA    ,Light     
1256,2016-09-21 23:37:00,Oak Ridge                           ,TN    ,Circle    
1258,2016-09-21 22:00:00,Quincy                              ,MA    ,Oval      
1259,2016-09-21 21:50:00,Wilmington                          ,MA    ,Circle    
1260,2016-09-21 21:45:00,Lowell                              ,MA    ,Fireball  
1261,2016-09-21 21:42:00,Nashua                              ,NH    ,Fireball  
1262,2016-09-21 21:30:00,North Brookfield                    ,MA    ,Oval      
1263,2016-09-21 20:30:00,Cicero                              ,NY    ,Light     
1264,2016-09-21 20:15:00,Cicero                              ,NY    ,Cross     
1265,2016-09-21 20:07:00,Cicero                              ,NY    ,Formation 
1266,2016-09-21 20:05:00,North Bend                          ,WA    ,Flash     
1268,2016-09-21 19:40:00,Nashville                           ,TN    ,Diamond   
1269,2016-09-21 18:00:00,Beaverton                           ,OR    ,Circle    
1270,2016-09-21 17:00:00,Pellville                           ,KY    ,Diamond   
1271,2016-09-21 08:20:00,Buford                              ,GA    ,Light     
1272,2016-09-21 05:16:00,Newport Beach                       ,CA    ,Fireball  
1273,2016-09-21 05:16:00,Newport Beach                       ,CA    ,Fireball  
1274,2016-09-21 04:23:00,Shelbyville                         ,IN    ,Triangle  
1275,2016-09-21 02:35:00,Tea                                 ,SD    ,Fireball  
1276,2016-09-20 22:13:00,Springtown                          ,TX    ,Oval      
1277,2016-09-20 22:00:00,Oak Lawn                            ,IL    ,Light     
1278,2016-09-20 21:04:00,Louisville                          ,KY    ,Sphere    
1279,2016-09-20 21:00:00,Salt Lake City                      ,UT    ,Triangle  
1281,2016-09-20 21:00:00,Elmore County                       ,ID    ,Light     
1282,2016-09-20 21:00:00,Brooklyn                            ,NY    ,Light     
1283,2016-09-20 20:45:00,Salt Lake City                      ,UT    ,Formation 
1284,2016-09-20 20:35:00,Freeland                            ,PA    ,Light     
1285,2016-09-20 20:15:00,Harrisburg                          ,PA    ,Other     
1286,2016-09-20 20:00:00,Assumption                          ,MI    ,Light     
1287,2016-09-20 20:00:00,Amherst                             ,NY    ,Sphere    
1288,2016-09-20 19:45:00,Charleroi                           ,PA    ,Cylinder  
1290,2016-09-20 18:00:00,St. Augustine                       ,FL    ,Chevron   
1292,2016-09-20 13:00:00,Conway                              ,AR    ,Sphere    
1293,2016-09-20 10:50:00,Laurel                              ,MD    ,Chevron   
1294,2016-09-20 10:00:00,Thomson                             ,GA    ,Disk      
1295,2016-09-20 06:10:00,Columbus                            ,OH    ,Chevron   
1296,2016-09-20 05:15:00,Bradenton                           ,FL    ,Other     
1297,2016-09-20 05:00:00,Siracusa                            ,NY    ,Light     
1298,2016-09-20 04:00:00,Brookfield                          ,IL    ,Disk      
1299,2016-09-20 01:00:00,Gila                                ,NM    ,Oval      
1300,2016-09-19 22:00:00,Baraboo                             ,WI    ,Flash     
1301,2016-09-19 22:00:00,Saucier                             ,MS    ,Light     
1302,2016-09-19 22:00:00,Oswego                              ,IL    ,Light     
1303,2016-09-19 22:00:00,Aumsville                           ,OR    ,Cross     
1304,2016-09-19 21:30:00,Loveland                            ,CO    ,Chevron   
1306,2016-09-19 21:00:00,Crandon                             ,WI    ,Other     
1307,2016-09-19 20:47:00,Jasper                              ,GA    ,Circle    
1308,2016-09-19 20:05:00,Pittsfield                          ,MA    ,Fireball  
1309,2016-09-19 18:22:00,Cloverdale                          ,NM    ,Disk      
1310,2016-09-19 17:50:00,Powell                              ,TN    ,Triangle  
1311,2016-09-19 08:30:00,Perris                              ,CA    ,Disk      
1312,2016-09-19 03:32:00,San Diego                           ,CA    ,Triangle  
1313,2016-09-18 23:00:00,Las Vegas                           ,NV    ,Oval      
1316,2016-09-18 21:00:00,Grand Rapids                        ,MI    ,Light     
1318,2016-09-18 20:52:00,Fort Wayne                          ,IN    ,Other     
1320,2016-09-18 20:45:00,Oroville                            ,CA    ,Light     
1321,2016-09-18 20:10:00,Manitou Springs                     ,CO    ,Oval      
1322,2016-09-18 19:21:00,Yukon                               ,OK    ,Light     
1323,2016-09-18 19:00:00,Aurora                              ,CO    ,Other     
1324,2016-09-18 15:30:00,Bridgewater                         ,NJ    ,Rectangle 
1325,2016-09-18 14:34:00,Fairbanks                           ,AK    ,Circle    
1326,2016-09-18 10:00:00,Bensalem                            ,PA    ,Circle    
1327,2016-09-18 08:00:00,Tulsa                               ,OK    ,Triangle  
1328,2016-09-18 05:30:00,Hopedale                            ,MA    ,Circle    
1329,2016-09-17 23:30:00,Stamford                            ,CT    ,Oval      
1330,2016-09-17 23:15:00,Miami                               ,FL    ,Fireball  
1331,2016-09-17 22:36:00,Colton                              ,NY    ,Fireball  
1332,2016-09-17 21:00:00,Danville                            ,IN    ,Triangle  
1333,2016-09-17 20:33:00,Summerlin                           ,NV    ,Changing  
1334,2016-09-17 20:00:00,Preston                             ,MD    ,Light     
1335,2016-09-17 19:36:00,Los Alamos                          ,NM    ,Circle    
1336,2016-09-17 19:35:00,Albuquerque                         ,NM    ,Light     
1337,2016-09-17 19:30:00,Durango                             ,CO    ,Sphere    
1338,2016-09-17 19:00:00,Ridgway                             ,CO    ,Triangle  
1339,2016-09-17 19:00:00,Lahaina                             ,HI    ,Light     
1340,2016-09-17 10:00:00,Layton                              ,UT    ,Triangle  
1341,2016-09-17 09:45:00,Oklahoma City                       ,OK    ,Changing  
1342,2016-09-17 08:45:00,Orem                                ,UT    ,Chevron   
1343,2016-09-17 00:00:00,Athens                              ,AL    ,Oval      
1344,2016-09-16 23:33:00,Pittsburg                           ,CA    ,Light     
1345,2016-09-16 22:30:00,Aurora                              ,IN    ,Light     
1347,2016-09-16 21:40:00,Cumberland                          ,MD    ,Light     
1348,2016-09-16 21:25:00,Lewis center                        ,OH    ,Sphere    
1349,2016-09-16 21:06:00,Long Beach                          ,CA    ,Other     
1350,2016-09-16 21:00:00,Richlands                           ,NC    ,Changing  
1351,2016-09-16 21:00:00,Frisco                              ,TX    ,Flash     
1353,2016-09-16 21:00:00,Sylmar                              ,CA    ,Triangle  
1354,2016-09-16 20:45:00,Waterville                          ,ME    ,Light     
1355,2016-09-16 20:40:00,Medford                             ,MA    ,Light     
1357,2016-09-16 20:30:00,Huntington Beach                    ,CA    ,Chevron   
1358,2016-09-16 20:00:00,Bangor                              ,ME    ,Triangle  
1359,2016-09-16 20:00:00,Baldwinsville                       ,NY    ,Light     
1360,2016-09-16 19:50:00,Citrus Heights                      ,CA    ,Oval      
1361,2016-09-16 18:40:00,Minot                               ,ME    ,Other     
1362,2016-09-16 14:45:00,Redding                             ,CA    ,Cigar     
1363,2016-09-16 12:43:00,Charleston                          ,SC    ,Triangle  
1364,2016-09-16 10:15:00,Marina Del Rey                      ,CA    ,Light     
1365,2016-09-16 04:30:00,Belmont                             ,NC    ,Other     
1367,2016-09-15 23:20:00,Benson                              ,AZ    ,Rectangle 
1368,2016-09-15 22:53:00,Stoughton                           ,MA    ,Circle    
1369,2016-09-15 22:15:00,Missoula                            ,MT    ,Light     
1370,2016-09-15 22:05:00,Canby                               ,OR    ,Light     
1371,2016-09-15 22:00:00,Mountain Home                       ,ID    ,Light     
1372,2016-09-15 21:55:00,Hyannis                             ,MA    ,Sphere    
1373,2016-09-15 21:45:00,Bigfork                             ,MT    ,Fireball  
1374,2016-09-15 21:30:00,Bear                                ,DE    ,Sphere    
1377,2016-09-15 21:15:00,Whitefish                           ,MT    ,Light     
1378,2016-09-15 21:00:00,Seagrove                            ,FL    ,Fireball  
1379,2016-09-15 21:00:00,Lakehills                           ,TX    ,Sphere    
1380,2016-09-15 20:47:00,Warren                              ,MI    ,Light     
1381,2016-09-15 20:30:00,Menifee                             ,CA    ,Fireball  
1382,2016-09-15 20:25:00,Spokane Valley                      ,WA    ,Light     
1383,2016-09-15 19:45:00,Baltimore                           ,MD    ,Fireball  
1384,2016-09-15 19:30:00,Farmington                          ,ME    ,Other     
1385,2016-09-15 19:00:00,Smithville                          ,NJ    ,Triangle  
1386,2016-09-15 19:00:00,Warminster                          ,PA    ,Light     
1387,2016-09-15 18:45:00,Hingham                             ,MA    ,Disk      
1388,2016-09-15 18:00:00,Augusta                             ,GA    ,Light     
1389,2016-09-15 17:15:00,Gladwin                             ,MI    ,Sphere    
1390,2016-09-15 14:30:00,Prince William                      ,VA    ,Disk      
1392,2016-09-15 07:30:00,Knoxville                           ,TN    ,Light     
1393,2016-09-15 04:00:00,Ontario                             ,CA    ,Other     
1394,2016-09-15 02:35:00,Miami                               ,FL    ,Circle    
1395,2016-09-15 00:00:00,San Leandro                         ,CA    ,Other     
1396,2016-09-14 22:37:00,Highland                            ,MI    ,Other     
1397,2016-09-14 22:30:00,Bradenton                           ,FL    ,Circle    
1398,2016-09-14 21:30:00,False Cape State Park               ,VA    ,Light     
1399,2016-09-14 21:30:00,Springfield                         ,OH    ,Light     
1400,2016-09-14 21:10:00,Pittsburgh                          ,PA    ,Light     
1402,2016-09-14 21:00:00,Sea Isle City                       ,NJ    ,Light     
1404,2016-09-14 20:30:00,Ocean City                          ,NJ    ,Light     
1405,2016-09-14 20:30:00,O'Fallon                            ,MO    ,Light     
1407,2016-09-14 03:05:00,San Marcos                          ,TX    ,Formation 
1408,2016-09-14 02:30:00,Lewisville                          ,NC    ,Other     
1409,2016-09-14 01:00:00,Grapevine                           ,CA    ,Triangle  
1410,2016-09-14 01:00:00,Scarborough                         ,ME    ,Disk      
1411,2016-09-14 01:00:00,Salem                               ,OR    ,Other     
1412,2016-09-14 00:30:00,Alberton                            ,MT    ,Light     
1413,2016-09-13 22:30:00,Mount Orab                          ,OH    ,Diamond   
1414,2016-09-13 22:30:00,Sugar Grove                         ,PA    ,Light     
1415,2016-09-13 22:20:00,Corinth                             ,MS    ,Light     
1416,2016-09-13 22:00:00,Fort Edward                         ,NY    ,Other     
1417,2016-09-13 22:00:00,Waverly                             ,OH    ,Other     
1418,2016-09-13 21:51:00,Dayton                              ,OH    ,Other     
1419,2016-09-13 21:30:00,Carolina Beach                      ,NC    ,Other     
1420,2016-09-13 21:30:00,Lakewood                            ,WA    ,Fireball  
1421,2016-09-13 21:30:00,Lakehills                           ,TX    ,Sphere    
1422,2016-09-13 21:30:00,Wilmington                          ,NC    ,Circle    
1423,2016-09-13 21:20:00,Atlantic Beach                      ,NC    ,Formation 
1424,2016-09-13 21:05:00,Fayetteville                        ,AR    ,Fireball  
1425,2016-09-13 21:00:00,West Portsmouth                     ,OH    ,Circle    
1427,2016-09-13 20:40:00,Eugene                              ,OR    ,Circle    
1428,2016-09-13 20:40:00,Eugene                              ,OR    ,Circle    
1429,2016-09-13 20:15:00,Dixon                               ,MO    ,Circle    
1430,2016-09-13 16:00:00,Hollister                           ,CA    ,Triangle  
1431,2016-09-13 12:43:00,Emerald isle                        ,NC    ,Circle    
1432,2016-09-13 10:50:00,Arlington                           ,VA    ,Other     
1434,2016-09-13 03:30:00,Gardner                             ,MA    ,Sphere    
1435,2016-12-09 22:30:00,Stamford                            ,VT    ,Cross     
1436,2016-12-09 22:00:00,Brooks                              ,ME    ,Fireball  
1437,2016-12-09 22:00:00,South Haven                         ,MI    ,Disk      
1438,2016-12-09 22:00:00,South Haven                         ,MI    ,Disk      
1439,2016-12-09 20:00:00,Boston                              ,GA    ,Other     
1440,2016-12-09 05:45:00,Bradenton                           ,FL    ,Circle    
1441,2016-12-09 01:00:00,Colorado Springs                    ,CO    ,Triangle  
1442,2016-12-09 01:00:00,Anchorage                           ,AK    ,Disk      
1443,2016-11-09 23:00:00,Fresno                              ,CA    ,Flash     
1444,2016-11-09 22:37:00,Paris                               ,KY    ,Light     
1445,2016-11-09 22:00:00,Emmett                              ,ID    ,Oval      
1446,2016-11-09 21:00:00,St. Charles                         ,IL    ,Formation 
1447,2016-11-09 20:00:00,Freeland                            ,PA    ,Light     
1448,2016-11-09 20:00:00,Riverside                           ,OH    ,Other     
1449,2016-11-09 19:43:00,Austin                              ,TX    ,Fireball  
1450,2016-11-09 18:30:00,South Berwick                       ,ME    ,Sphere    
1451,2016-11-09 18:00:00,North Andover                       ,MA    ,Triangle  
1452,2016-11-09 14:00:00,Los Angeles                         ,CA    ,Cylinder  
1453,2016-11-09 13:40:00,Savannah                            ,GA    ,Cross     
1454,2016-11-09 11:00:00,Thornton                            ,CO    ,Cigar     
1456,2016-11-09 07:01:00,Warren                              ,PA    ,Circle    
1457,2016-11-09 07:00:00,Pontotoc                            ,MS    ,Light     
1459,2016-11-09 03:00:00,Granville                           ,NY    ,Light     
1460,2016-11-09 02:45:00,Mellen                              ,WI    ,Light     
1461,2016-11-09 00:30:00,Brandon                             ,MS    ,Flash     
1463,2016-11-09 00:00:00,Hartsdale                           ,NY    ,Changing  
1465,2016-10-09 23:30:00,Topeka                              ,KS    ,Light     
1467,2016-10-09 21:43:00,Clayton                             ,CA    ,Light     
1468,2016-10-09 21:25:00,Cheyenne                            ,WY    ,Other     
1469,2016-10-09 21:15:00,Farmington                          ,NY    ,Cylinder  
1470,2016-10-09 21:00:00,Anchorage                           ,AK    ,Light     
1471,2016-10-09 21:00:00,Lima                                ,OH    ,Fireball  
1472,2016-10-09 19:10:00,Wilson Lake                         ,KS    ,Sphere    
1473,2016-10-09 19:00:00,Albany                              ,NY    ,Circle    
1474,2016-10-09 12:00:00,Elma                                ,WA    ,Rectangle 
1475,2016-10-09 11:15:00,Saratoga Springs                    ,NY    ,Rectangle 
1476,2016-10-09 02:45:00,Pharr                               ,TX    ,Fireball  
1477,2016-10-09 01:50:00,Tucson                              ,AZ    ,Light     
1478,2016-10-09 01:00:00,Corning                             ,AR    ,Light     
1479,2016-10-09 01:00:00,Hilton Head                         ,SC    ,Circle    
1481,2016-10-09 01:00:00,Hilton Head                         ,SC    ,Sphere    
1482,2016-10-09 00:45:00,Hilton Head                         ,SC    ,Sphere    
1483,2016-09-09 23:45:00,Ridley Park                         ,PA    ,Circle    
1484,2016-09-09 23:39:00,Elko New Market                     ,MN    ,Circle    
1485,2016-09-09 23:30:00,Moore                               ,TX    ,Formation 
1486,2016-09-09 23:10:00,Eaton                               ,OH    ,Triangle  
1488,2016-09-09 20:55:00,Madison                             ,WI    ,Triangle  
1489,2016-09-09 20:43:00,Battle Ground                       ,WA    ,Fireball  
1490,2016-09-09 20:20:00,Paragould                           ,AR    ,Cigar     
1491,2016-09-09 19:30:00,Albuquerque                         ,NM    ,Cigar     
1492,2016-09-09 16:00:00,Tacoma                              ,WA    ,Triangle  
1493,2016-09-09 15:30:00,Andrews                             ,SC    ,Other     
1494,2016-09-09 09:30:00,Sandy                               ,OR    ,Egg       
1495,2016-09-09 09:30:00,Wichita                             ,KS    ,Sphere    
1496,2016-09-09 07:45:00,Minneapolis                         ,MN    ,Sphere    
1497,2016-09-09 01:00:00,Jal                                 ,NM    ,Triangle  
1498,2016-08-09 22:40:00,Auburn                              ,WA    ,Disk      
1499,2016-08-09 21:30:00,St. Paul                            ,MN    ,Light     
1500,2016-08-09 21:00:00,Canton                              ,GA    ,Disk      
1501,2016-08-09 20:00:00,Albuquerque                         ,NM    ,Oval      
1502,2016-08-09 18:30:00,Erwin                               ,NC    ,Fireball  
1503,2016-08-09 18:15:00,Fayetteville                        ,NC    ,Teardrop  
1504,2016-08-09 18:06:00,Raleigh                             ,NC    ,Circle    
1505,2016-08-09 18:00:00,Durham                              ,NC    ,Teardrop  
1506,2016-08-09 17:55:00,Wake Forest                         ,NC    ,Fireball  
1507,2016-08-09 17:50:00,Raleigh                             ,NC    ,Light     
1508,2016-08-09 17:00:00,Mebane                              ,NC    ,Circle    
1509,2016-08-09 16:30:00,Santa Clarita                       ,CA    ,Light     
1510,2016-08-09 16:00:00,Goleta                              ,CA    ,Changing  
1512,2016-08-09 06:30:00,Westport                            ,IN    ,Oval      
1513,2016-08-09 06:00:00,Tarpon Springs                      ,FL    ,Light     
1515,2016-08-09 01:00:00,Duncan                              ,OK    ,Circle    
1516,2016-08-09 01:00:00,Centerville                         ,IA    ,Oval      
1517,2016-07-09 23:20:00,Easley                              ,SC    ,Triangle  
1518,2016-07-09 23:15:00,Haworth                             ,NJ    ,Flash     
1519,2016-07-09 22:41:00,Franklin                            ,NC    ,Circle    
1520,2016-07-09 22:15:00,Harrison                            ,NY    ,Disk      
1521,2016-07-09 22:00:00,Deptford                            ,NJ    ,Light     
1522,2016-07-09 21:30:00,Fairborn                            ,OH    ,Triangle  
1523,2016-07-09 21:30:00,Fairborn                            ,OH    ,Triangle  
1524,2016-07-09 21:30:00,Dayton                              ,OH    ,Other     
1525,2016-07-09 20:45:00,Adrian                              ,OR    ,Circle    
1526,2016-07-09 20:00:00,Syracuse                            ,NY    ,Other     
1527,2016-07-09 09:23:00,Portsmouth                          ,RI    ,Fireball  
1528,2016-07-09 08:40:00,Half Moon Bay                       ,CA    ,Oval      
1529,2016-07-09 07:45:00,Stonefort                           ,IL    ,Light     
1530,2016-07-09 05:30:00,Rancho Cucamonga                    ,CA    ,Light     
1531,2016-07-09 05:00:00,Oak Forest                          ,IL    ,Light     
1532,2016-07-09 01:00:00,Buford                              ,GA    ,Circle    
1533,2016-07-09 01:00:00,Winder                              ,GA    ,Circle    
1534,2016-07-09 00:00:00,Winder                              ,GA    ,Circle    
1535,2016-06-09 22:00:00,Peoria                              ,IL    ,Light     
1536,2016-06-09 22:00:00,Kingston                            ,NY    ,Circle    
1539,2016-06-09 20:50:00,Albany                              ,NY    ,Triangle  
1540,2016-06-09 20:40:00,La Canada                           ,CA    ,Light     
1541,2016-06-09 19:45:00,Dundalk                             ,MD    ,Fireball  
1542,2016-06-09 16:00:00,Bangor                              ,PA    ,Rectangle 
1543,2016-06-09 16:00:00,Bangor                              ,PA    ,Rectangle 
1544,2016-06-09 15:30:00,Asheboro                            ,NC    ,Disk      
1545,2016-06-09 14:45:00,Tucson                              ,AZ    ,Triangle  
1546,2016-06-09 14:00:00,Palm Spring                         ,CA    ,Changing  
1547,2016-06-09 13:30:00,Lake Crystal                        ,MN    ,Fireball  
1548,2016-06-09 08:20:00,Brentwood                           ,CA    ,Other     
1549,2016-06-09 06:15:00,Gary                                ,IN    ,Cigar     
1550,2016-06-09 01:34:00,Boise                               ,ID    ,Triangle  
1552,2016-06-09 00:15:00,Pasco                               ,WA    ,Flash     
1553,2016-06-09 00:00:00,Harrison                            ,AR    ,Light     
1554,2016-05-09 22:30:00,St. George                          ,UT    ,Triangle  
1556,2016-05-09 21:30:00,Santa Fe                            ,NM    ,Other     
1557,2016-05-09 21:00:00,Bloomer                             ,WI    ,Triangle  
1558,2016-05-09 21:00:00,Bloomer                             ,WI    ,Triangle  
1559,2016-05-09 21:00:00,Bloomer                             ,WI    ,Triangle  
1560,2016-05-09 20:45:00,Spotsylvania                        ,VA    ,Sphere    
1561,2016-05-09 20:30:00,Pittsgrove                          ,NJ    ,Sphere    
1562,2016-05-09 20:00:00,South Park Township                 ,PA    ,Light     
1563,2016-05-09 19:55:00,Rose City                           ,MI    ,Light     
1564,2016-05-09 19:50:00,Magalia                             ,CA    ,Changing  
1565,2016-05-09 10:00:00,Webster                             ,NY    ,Light     
1566,2016-05-09 09:35:00,Wake Forest                         ,NC    ,Sphere    
1567,2016-05-09 05:20:00,Jamaica Beach                       ,TX    ,Light     
1569,2016-05-09 04:00:00,Jefferson Hills                     ,PA    ,Light     
1571,2016-05-09 02:20:00,Parker                              ,CO    ,Formation 
1573,2016-05-09 01:00:00,Taylorsville                        ,UT    ,Disk      
1574,2016-05-09 00:00:00,Muskegon                            ,MI    ,Triangle  
1575,2016-04-09 00:00:00,Morristown                          ,TN    ,Triangle  
1576,2016-04-09 23:00:00,National Park                       ,NJ    ,Fireball  
1577,2016-04-09 22:45:00,Lawrenceburg                        ,KY    ,Fireball  
1578,2016-04-09 22:29:00,Varnell                             ,GA    ,Fireball  
1579,2016-04-09 22:00:00,Bremen                              ,GA    ,Triangle  
1580,2016-04-09 21:30:00,St. Louis                           ,MO    ,Triangle  
1581,2016-04-09 21:00:00,Pflugerville                        ,TX    ,Fireball  
1582,2016-04-09 21:00:00,Elgin                               ,IL    ,Fireball  
1583,2016-04-09 19:55:00,Kettering                           ,OH    ,Other     
1584,2016-04-09 19:32:00,Manassas                            ,VA    ,Disk      
1585,2016-04-09 19:18:00,West Chester                        ,PA    ,Other     
1586,2016-04-09 18:40:00,Winnemucca                          ,NV    ,Cylinder  
1587,2016-04-09 17:45:00,Arvada                              ,CO    ,Circle    
1588,2016-04-09 15:03:00,Port St. Lucie                      ,FL    ,Sphere    
1589,2016-04-09 11:30:00,Miami                               ,FL    ,Oval      
1590,2016-04-09 09:30:00,Buffalo                             ,WY    ,Rectangle 
1591,2016-04-09 08:45:00,Portage                             ,WI    ,Circle    
1592,2016-04-09 03:40:00,Northbrook                          ,IL    ,Light     
1593,2016-04-09 01:00:00,Tampa                               ,FL    ,Other     
1595,2016-04-09 01:00:00,Donora                              ,PA    ,Light     
1596,2016-03-09 00:00:00,Mount royal                         ,NJ    ,Light     
1597,2016-03-09 00:00:00,Royal Oak                           ,MI    ,Disk      
1598,2016-03-09 23:57:00,Forest Grove                        ,OR    ,Sphere    
1599,2016-03-09 23:55:00,Portland                            ,OR    ,Fireball  
1600,2016-03-09 23:45:00,Auburn                              ,WI    ,Circle    
1602,2016-03-09 23:00:00,Wood Dale                           ,IL    ,Fireball  
1603,2016-03-09 23:00:00,Hurley                              ,MO    ,Light     
1604,2016-03-09 23:00:00,Manalapan                           ,NJ    ,Fireball  
1606,2016-03-09 21:58:00,Idyllwild                           ,CA    ,Formation 
1607,2016-03-09 21:30:00,Hamburg                             ,NJ    ,Sphere    
1608,2016-03-09 21:30:00,Smithfield                          ,RI    ,Light     
1609,2016-03-09 20:50:00,San Pedro                           ,CA    ,Circle    
1611,2016-03-09 20:45:00,Roseville                           ,MI    ,Triangle  
1612,2016-03-09 20:35:00,Greenwood Lake                      ,NJ    ,Light     
1613,2016-03-09 20:30:00,High Ridge                          ,MO    ,Circle    
1614,2016-03-09 20:27:00,Reno                                ,NV    ,Light     
1615,2016-03-09 20:25:00,Sellersville                        ,PA    ,Light     
1616,2016-03-09 18:13:00,Pasco                               ,WA    ,Changing  
1617,2016-03-09 18:00:00,Bainbridge Island                   ,WA    ,Circle    
1619,2016-03-09 06:00:00,Hanceville                          ,AL    ,Light     
1620,2016-03-09 05:15:00,Madison                             ,WI    ,Light     
1621,2016-03-09 04:45:00,Pensacola                           ,FL    ,Circle    
1622,2016-03-09 03:00:00,Manistique                          ,MI    ,Triangle  
1623,2016-03-09 02:00:00,Oxon Hill                           ,MD    ,Triangle  
